│   4 |       4 | 1700.00 |  3329463.78 |   706154.41 |  5385690.11 | new-bear │
│   4 |       5 | 1300.00 |  4611888.79 |   116255.99 |  4393928.46 | the-copy │
│   4 |       6 | 1100.00 |  3865581.56 |   -76231.47 |  5063705.07 | old-bass │
│   4 |       7 | 1400.00 |  4570639.43 |   584655.32 |  4399667.53 | low-diet │
│   4 |       8 | 1100.00 |  3670172.41 |  -380922.31 |  5193685.94 | few-babe │
│   4 |       9 | 1500.00 |  3940686.48 |   484402.33 |  4982568.16 | due-edge │
│   4 |      10 | 1600.00 |  5091632.09 |  -393567.62 |  3809203.09 | icy-alto │
│   4 |      11 | 2000.00 |  3330020.22 |  1572646.72 |  5198787.23 | wee-gene │
│   4 |      12 | 1550.00 |  3782049.34 |   585606.67 |  5093408.35 | two-fate │
│   4 |      13 | 1600.00 |  4496095.57 |   707789.04 |  4458004.07 | hot-coin │
│   4 |      14 | 1600.00 |  3890478.06 |   951077.25 |  4954722.35 | red-chef │
│   4 |      15 | 1500.00 |  4907473.21 |  -789505.95 |  3985351.69 | key-debt │
│   4 |      16 | 1750.00 |  3718324.97 |  1131497.77 |  5048109.87 | key-geek │
│ ----+---------+---------+-------------+-------------+-------------+--------- │
│   5 |       1 | 2000.00 |  3833839.73 |   657618.26 |  5045676.58 | big-bone │
│   5 |       2 | 1300.00 |  4428743.04 |   374560.24 |  4564600.82 | bad-chug │
│   5 |       3 | 1700.00 |  4063995.57 |   794515.12 |  4841727.66 | few-beam │
│   5 |       4 | 1600.00 |  3944256.52 |   467894.59 |  4981320.73 | due-coat │
│   5 |       5 | 2000.00 |  3516587.05 |  1186080.23 |  5178462.15 | her-cash │
│   5 |       6 | 2000.00 |  4062712.85 |  1250376.84 |  4745583.53 | icy-fate │
│   5 |       7 | 1100.00 |  5019970.12 |   -99074.77 |  3921699.27 | sad-bend │
│   5 |       8 | 2200.00 |  2941903.82 |  1356458.76 |  5485878.47 | two-fill │
│   5 |       9 | 1100.00 |  4905851.41 |   227075.15 |  4058411.00 | coy-boat │
│   5 |      10 | 1800.00 |  3674173.23 |   953834.06 |  5116668.12 | dry-epic │
│   5 |      11 | 1400.00 |  4455748.78 |   894105.71 |  4465032.90 | its-bulb │
│   5 |      12 |  600.00 |  4898728.76 |  -809920.21 |  3992007.87 | mad-bulb │
│   5 |      13 | 1800.00 |  3989809.15 |  1190414.03 |  4822237.90 | shy-cock │
│   5 |      14 | 1200.00 |  5437633.32 | -1356240.55 |  3030246.93 | the-boot │
│   5 |      15 | 1500.00 |  4511619.77 |   898015.45 |  4407776.80 | cut-fuel │
│   5 |      16 | 1600.00 |  4367306.66 |   953423.03 |  4539521.79 | one-boom │
│ ----+---------+---------+-------------+-------------+-------------+--------- │
│ FLAG| bc23d07612ac5bb9aa1b0a4e612ff275                                       │
└──────────────────────────────────────────────────────────────────────────────┘
